,reviews,stars,date,country
0,LHR to PHL on 787 online check in worked well T5 first class lounge very nice good choice of drinks available food could be better but nothing to complain about. Priority boarding worked well too. Service always very good (flying every month to the US). Did not eat anything because I wanted only to sleep. Had seat 3e (middle seat at the end of the first club world cabin) which gives you a lot of private space. Entertainment system good but a better selection necessary. Overall I can recommend BA however on most of the Asian airlines you have roomier seats.,"
													5",22nd September 2014,Austria
1,BHD-LHR. I flew BA from Belfast George Best Airport to London the flight was very good and on time and uneventful. The crew was excellent and the aircraft was a new A319. The fare was ok.,7,22nd September 2014,Egypt
2,Considering our outbound flight to Orlando was delayed a good 2 hours I'm not sure why I expected better service from BA coming home. Over a day before our return flight was due there was already a delay posted bumping our flight up a whole three hours. The next morning we wake to find our flight now leaves at the break of the next day at half 12 in the evening! We booked our flight to leave Saturday so we would arrive home on Sunday and be able to go back to work for the Monday. But thanks to the reliability of British Airways not only had we paid for two - now immensely - overpriced flights we will be loosing money from not being able to attend our jobs! Absolutely disgusting show from BA I honestly wouldn't even chance a brief flight with them for fear of having to cancel numerous plans due to the ineptitude of a shoddily run business! I won't be recommending BA in fact I will actively encourage everyone I meet to avoid their awful business at all costs!,9,22nd September 2014,United Kingdom
3,LHR-SIN in Economy. Very relaxed and prompt check in at T5. A good attentive and humorous cabin crew nice wine dinner enjoyable the same poor breakfast as 20 years ago. Very clean and tidy interior on 777. Punctual and it goes without saying that the flight crew are excellent and you feel safe. Will definitely seek to use again.,1,22nd September 2014,United Kingdom
4,LHR-LIS in Club Europe (on Avios). Easy check-in and security. BA lounge reasonable - good selection of drinks food slightly stale looking but tasty enough. Bus out to plane. Nice welcome in Club Europe cabin on brand new A320. Seats comfortable albeit less legroom than expected. Food excellent served by very attentive cabin crew. Good updates from pilot. Very good flight overall.,8,18th September 2014,United Kingdom
5,Flew between LHR and JFK and the return leg was IAD to LHR and onward to KUL on MH. I must say BA has an excellent product offering. The crew are extremely friendly and are attentive. They are kept busy the entire flight with juice and water being served consistently. The only setback is that their B747 have seen better days and is in dire need of a refurbishment. Food was good but the IFE could be improved further with enhanced audio and video selection. I will surely fly with BA again. To the crew keep up the good work.,9,18th September 2014,Malaysia
6,Flew Heathrow - Madrid return. Have always been loyal to BA but no longer. T5 Lounge overcrowded poor range of food rubbish and uncleared crockery and glasses everywhere - not particularly pleasant. Bags not tagged priority. Fast Track not fast. Service on board to Madrid was exceptionally good and old style BA. Return bags not tagged priority no priority boarding old aircraft rude staff cramped seating poor and cost cutting catering with no attempt at service beyond handing out. Very disappointing experience and unacceptable. Could not select seats on-line for return flight as computer had allocated them. Eventually seats changed when called call centre - told couldn't be done for half an hour and strangely as the conversation moved forward they could do it. Waste of time and energy. Practically everything suggested as part of the Club Europe package didn't happen. Club Europe used to be so distinctive and worth and I always felt it was worth the premium price. To be honest I have cheaper alternatives from closer airports which I will now be using for my regular flights to and from Spain.,8,18th September 2014,United Kingdom
7,Flew LHR-BUD 11 Sep BA866 and return 15 Sep BA 869 Club Europe. Early morning flight from T3 so breakfast in lounge. Usual assortment of cereals and fruit etc but limited selection of hot food (although the bacon roll was delicious). As is usually the case had to ask for champagne but staff happy to oblige and quickly brought it to our table. Plenty of staff around and the whole lounge appeared to be kept tidy and clean. Had to board via a bus and there was no preference given to business passengers. Managed to get onto the bus first and got to seat without any problem. Plane had been refitted with the new layout. Beautiful cabin and the seats are lovely but gone is the extra leg room in Club. Big disappointment. It feels quite claustrophobic and then the person in front puts their seat back. Not as nice a place to be compared to the old club section aesthetics notwithstanding. Friendly crew plenty of champagne and a surprisingly good hot breakfast of omelette mushrooms bacon and sausage with hot bread. Coffee still poor however. No IFE apart from progress maps / information on small screen from ceiling. BUD airport a disaster. No time at all to clear immigration but had to wait almost an hour for bags - priority tags didn't seem to make any difference. No aircon in bag collection and overcrowded with people waiting for bags. Very uncomfortable and unpleasant. On return the lounge BA shares at BUD is small with very limited selection of food and drinks but all quite acceptable. A short delay was posted at check in and gate changed but all in all no real problem. Priority boarding worked well. Same plane configuration on return. Excellent crew up front on return too - plenty of smiles and chat. FAs free with the booze and nuts. Food was again a surprise - I had cod with a tandoori sauce and rice with cauliflower. Very tasty. BA can be hit and miss but I thoroughly enjoyed both flights. A great soft product if they can maintain the standard but the new fit out is a disappointment.,2,18th September 2014,United Kingdom
8,Used BA for a return trip to Denver and was very disappointed. Plane was old and tired cabin crew did the minimum required and food was basic. Had flown Emirates the previous month and BA cannot hold a candle to them from the warm towels wide seats great entertainment and shiny new planes. Wont be looking to support BA again.,8,18th September 2014,United Kingdom
9,Orlando Florida (MCO) - London Gatwick (LGW). Wed Aug 27 return Sun Sep 7. We paid over 150 dollars more for our seats and didn't even get a choice of what we wanted for our meal. In addition the inflight entertainment didn't work on our return trip.,5,18th September 2014,United States
